TX_REF|TX_CHAVE|TX_VALOR
EQ_TipoConclusaoExecutada|MA_MT_INSTPRMT_MSCTEC_0002|NAO EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_ISOLAVAR_MSCTEC_0001|EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_ISOLAVAR_MSCTEC_0002|NAO EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_LEVCARGA_MSCTEC_0001|EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_LEVCARGA_MSCTEC_0002|NAO EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_LEVUNIVE_MSCTEC_0001|EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_LEVUNIVE_MSCTEC_0002|NAO EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_LIMPEZSE_MSCTEC_0001|EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_LIMPEZSE_MSCTEC_0002|NAO EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_MANOBRA _MSCTEC_0001|EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_MANOBRA _MSCTEC_0002|NAO EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_MANOBRA_MSCTEC_0001|EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_MANOBRA_MSCTEC_0002|NAO EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_MEDIAVAR_MSCTEC_0001|EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_MEDIAVAR_MSCTEC_0002|NAO EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_PARRAVAR_MSCTEC_0001|EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_PARRAVAR_MSCTEC_0002|NAO EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_PENDCONX_MSCTEC_0001|EXECUTADO
EQ_TipoConclusaoExecutada|MA_MT_PENDCONX_MSCTEC_0002|NAO EXECUTADO
